
Path                                                                                                LineNumber Pattern 
----                                                                                                ---------- ------- 
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.BackOffice.UI\App.xaml.cs                                          36 conne...
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.BackOffice.UI\ViewModels\UserManagementViewModel.cs                87 SKELE...
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.BackOffice.UI\Views\LoginWindow.xaml                               82 passw...
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.BackOffice.UI\Views\Pages\Admin\UserManagementView.xaml           238 passw...
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.BackOffice.UI\Views\Pages\Admin\UserManagementView.xaml.cs         19 passw...
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.Cashier.UI\App.xaml.cs                                             31 conne...
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.Cashier.UI\Dialogs\LockScreenView.xaml.cs                          36 passw...
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.Cashier.UI\Dialogs\LockScreenView.xaml.cs                          63 passw...
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.Cashier.UI\ViewModels\LoginViewModel.cs                            22 passw...
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.Cashier.UI\ViewModels\LoginViewModel.cs                           132 passw...
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.Cashier.UI\Views\LoginView.xaml.cs                                 18 passw...
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.Core\Data\AppDbContext.cs                                         107 conne...
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.Core\Data\DatabasePathProvider.cs                                  19 conne...
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.Core\Services\AuthService.cs                                       20 backdoor
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.Core\Services\AuthService.cs                                       23 backdoor
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.Core\Services\AuthService.cs                                       43 SKELE...
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.Core\Services\AuthService.cs                                       45 Admin123
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.Core\Services\AuthService.cs                                       46 sa123   
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.Core\Services\AuthService.cs                                       51 backdoor
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.Core\Sync\CloudSyncWorker.cs                                       21 token   
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.Core\Sync\CloudSyncWorker.cs                                       26 token   
C:\Users\Sanjeewa\Dev\MyProjects\POS\POS.Core\Sync\CloudSyncWorker.cs                                       50 token   



